RepliconName	RepliconAccession	Start	Stop	Strand	GeneID	Locus	LocusTag	ProteinProduct	Length	COGs	ProteinName
chr	NC_012967.1	50002	51333	+	8175044	yaaU	ECB_00049	YP_003043278.1	443	-	putative transporter
chr	NC_012967.1	51441	51971	+	8178305	yabF	ECB_00050	YP_003043279.1	176	-	glutathione-regulated potassium-efflux system ancillary protein KefF
chr	NC_012967.1	51964	53826	+	8175045	kefC	ECB_00051	YP_003043280.1	620	-	glutathione-regulated potassium-efflux system protein KefC
chr	NC_012967.1	54018	54497	+	8175046	folA	ECB_00052	YP_003043281.1	159	-	dihydrofolate reductase
chr	NC_012967.1	54575	55417	-	8175047	apaH	ECB_00053	YP_003043282.1	280	-	diadenosine tetraphosphatase
chr	NC_012967.1	55424	55801	-	8175048	apaG	ECB_00054	YP_003043283.1	125	-	ApaG protein
chr	NC_012967.1	55804	56625	-	8178867	ksgA	ECB_00055	YP_003043284.1	273	-	dimethyladenosine transferase
chr	NC_012967.1	56622	57611	-	8175049	pdxA	ECB_00056	YP_003043285.1	329	-	4-hydroxythreonine-4-phosphate dehydrogenase
chr	NC_012967.1	57611	58897	-	8175050	surA	ECB_00057	YP_003043286.1	428	-	peptidyl-prolyl cis-trans isomerase SurA
chr	NC_012967.1	58950	61304	-	8175051	imp	ECB_00058	YP_003043287.1	784	-	organic solvent tolerance protein
chr	NC_012967.1	61559	62374	+	8175052	djlA	ECB_00059	YP_003043288.1	271	-	Dna-J like membrane chaperone protein
chr	NC_012967.1	62491	63150	-	8175053	rluA	ECB_00060	YP_003043289.1	219	-	23S rRNA/tRNA pseudouridine synthase A
chr	NC_012967.1	63162	66068	-	8178306	hepA	ECB_00061	YP_003043290.1	968	-	ATP-dependent helicase HepA
chr	NC_012967.1	66233	68584	-	8175054	polB	ECB_00062	YP_003043291.1	783	-	DNA polymerase II
chr	NC_012967.1	68659	69354	-	8175055	araD	ECB_00063	YP_003043292.1	231	-	L-ribulose-5-phosphate 4-epimerase
chr	NC_012967.1	69639	71141	-	8178307	araA	ECB_00064	YP_003043293.1	500	-	L-arabinose isomerase
chr	NC_012967.1	71152	72852	-	8178308	araB	ECB_00065	YP_003043294.1	566	-	ribulokinase
chr	NC_012967.1	73191	74069	+	8175056	araC	ECB_00066	YP_003043295.1	292	-	DNA-binding transcriptional regulator AraC
chr	NC_012967.1	74155	74919	+	8175057	yabI	ECB_00067	YP_003043296.1	254	-	inner membrane protein
chr	NC_012967.1	75033	75731	-	8175058	thiQ	ECB_00068	YP_003043297.1	232	-	thiamine transporter ATP-binding subunit
chr	NC_012967.1	75715	77325	-	8175059	thiP	ECB_00069	YP_003043298.1	536	-	thiamine transporter membrane protein
chr	NC_012967.1	77301	78284	-	8178309	tbpA	ECB_00070	YP_003043299.1	327	-	thiamine transporter substrate binding subunit
chr	NC_012967.1	78448	80103	-	8175060	yabN	ECB_00071	YP_003043300.1	551	-	transcriptional regulator SgrR
chr	NC_012967.1	80425	81603	+	8175061	setA	ECB_00072	YP_003043301.1	392	-	broad specificity sugar efflux system
chr	NC_012967.1	81652	82257	-	8175062	leuD	ECB_00073	YP_003043302.1	201	-	isopropylmalate isomerase small subunit
chr	NC_012967.1	82268	83668	-	8175063	leuC	ECB_00074	YP_003043303.1	466	-	isopropylmalate isomerase large subunit
chr	NC_012967.1	83671	84762	-	8175064	leuB	ECB_00075	YP_003043304.1	363	-	3-isopropylmalate dehydrogenase
chr	NC_012967.1	84762	86333	-	8178868	leuA	ECB_00076	YP_003043305.1	523	-	2-isopropylmalate synthase
chr	NC_012967.1	86426	86512	-	8175065	leuL	ECB_00077	YP_003043306.1	28	-	leu operon leader peptide
chr	NC_012967.1	87172	88116	+	8175066	leuO	ECB_00078	YP_003043307.1	314	-	leucine transcriptional activator
chr	NC_012967.1	88434	90158	+	8175067	ilvI	ECB_00079	YP_003043308.1	574	-	acetolactate synthase 3 catalytic subunit
chr	NC_012967.1	90161	90652	+	8175068	ilvH	ECB_00080	YP_003043309.1	163	-	acetolactate synthase 3 regulatory subunit
chr	NC_012967.1	90832	91836	+	8175069	fruR	ECB_00081	YP_003043310.1	334	-	DNA-binding transcriptional regulator FruR
chr	NC_012967.1	92438	92896	+	8175070	yabB	ECB_00082	YP_003043311.1	152	-	cell division protein MraZ
chr	NC_012967.1	92898	93839	+	8175071	mraW	ECB_00083	YP_003043312.1	313	-	S-adenosyl-methyltransferase MraW
chr	NC_012967.1	93836	94201	+	8175072	ftsL	ECB_00084	YP_003043313.1	121	-	cell division protein FtsL
chr	NC_012967.1	94217	95983	+	8175073	ftsI	ECB_00085	YP_003043314.1	588	-	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
chr	NC_012967.1	95970	97457	+	8175074	murE	ECB_00086	YP_003043315.1	495	-	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
chr	NC_012967.1	97454	98812	+	8175075	murF	ECB_00087	YP_003043316.1	452	-	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr	NC_012967.1	98806	99888	+	8175076	mraY	ECB_00088	YP_003043317.1	360	-	phospho-N-acetylmuramoyl-pentapeptide-transferase
chr	NC_012967.1	99891	101207	+	8175077	murD	ECB_00089	YP_003043318.1	438	-	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
chr	NC_012967.1	101207	102451	+	8175078	ftsW	ECB_00090	YP_003043319.1	414	-	cell division protein FtsW
chr	NC_012967.1	102448	103515	+	8175079	murG	ECB_00091	YP_003043320.1	355	-	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
chr	NC_012967.1	103569	105044	+	8175080	murC	ECB_00092	YP_003043321.1	491	-	UDP-N-acetylmuramate--L-alanine ligase
chr	NC_012967.1	105037	105957	+	8175081	ddl	ECB_00093	YP_003043322.1	306	-	D-alanine--D-alanine ligase
chr	NC_012967.1	105959	106789	+	8178310	ftsQ	ECB_00094	YP_003043323.1	276	-	cell division protein FtsQ
chr	NC_012967.1	106786	108048	+	8178311	ftsA	ECB_00095	YP_003043324.1	420	-	cell division protein FtsA
chr	NC_012967.1	108109	109260	+	8175082	ftsZ	ECB_00096	YP_003043325.1	383	-	cell division protein FtsZ
chr	NC_012967.1	109361	110278	+	8178312	lpxC	ECB_00097	YP_003043326.1	305	-	UDP-3-O
chr	NC_012967.1	110509	111021	+	8175083	yacA	ECB_00098	YP_003043327.1	170	-	SecA regulator SecM
chr	NC_012967.1	111083	113788	+	8175084	secA	ECB_00099	YP_003043328.1	901	-	preprotein translocase subunit SecA
chr	NC_012967.1	113848	114237	+	8175085	mutT	ECB_00100	YP_003043329.1	129	-	nucleoside triphosphate pyrophosphohydrolase
chr	NC_012967.1	114453	114650	-	8175086	yacG	ECB_00101	YP_003043330.1	65	-	zinc-binding protein
chr	NC_012967.1	114660	115403	-	8175087	yacF	ECB_00102	YP_003043331.1	247	-	hypothetical protein ECB_00102
chr	NC_012967.1	115403	116023	-	8175088	coaE	ECB_00103	YP_003043332.1	206	-	dephospho-CoA kinase
chr	NC_012967.1	116248	117291	+	8178869	guaC	ECB_00104	YP_003043333.1	347	-	guanosine 5\'-monophosphate oxidoreductase
chr	NC_012967.1	117326	118528	-	8175089	hofC	ECB_00105	YP_003043334.1	400	-	type IV pilin biogenesis protein
chr	NC_012967.1	118518	119903	-	8175090	hofB	ECB_00106	YP_003043335.1	461	-	hypothetical protein ECB_00106
chr	NC_012967.1	119913	120353	-	8175091	ppdD	ECB_00107	YP_003043336.1	146	-	putative major pilin subunit
chr	NC_012967.1	120556	121449	-	8178313	nadC	ECB_00108	YP_003043337.1	297	-	quinolinate phosphoribosyltransferase
chr	NC_012967.1	121537	122088	+	8175092	ampD	ECB_00109	YP_003043338.1	183	-	N-acetyl-anhydromuranmyl-L-alanine amidase
chr	NC_012967.1	122085	122939	+	8178870	ampE	ECB_00110	YP_003043339.1	284	-	regulatory protein AmpE
chr	NC_012967.1	122982	124355	-	8178314	aroP	ECB_00111	YP_003043340.1	457	-	aromatic amino acid transporter
chr	NC_012967.1	124896	125660	+	8175093	pdhR	ECB_00112	YP_003043341.1	254	-	transcriptional regulator PdhR
chr	NC_012967.1	125821	128484	+	8178871	aceE	ECB_00113	YP_003043342.1	887	-	pyruvate dehydrogenase subunit E1
chr	NC_012967.1	128499	130391	+	8175094	aceF	ECB_00114	YP_003043343.1	630	-	dihydrolipoamide acetyltransferase
chr	NC_012967.1	130716	132140	+	8175095	lpdA	ECB_00115	YP_003043344.1	474	-	dihydrolipoamide dehydrogenase
chr	NC_012967.1	132211	134064	-	8175096	yacH	ECB_00116	YP_003043345.1	617	-	hypothetical protein ECB_00116
chr	NC_012967.1	134419	137016	+	8175097	acnB	ECB_00117	YP_003043346.1	865	-	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
chr	NC_012967.1	137191	137553	+	8175098	yacL	ECB_00118	YP_003043347.1	120	-	hypothetical protein ECB_00118
chr	NC_012967.1	137591	138385	-	8175099	speD	ECB_00119	YP_003043348.1	264	-	S-adenosylmethionine decarboxylase
chr	NC_012967.1	138401	139267	-	8178872	speE	ECB_00120	YP_003043349.1	288	-	spermidine synthase
chr	NC_012967.1	139373	139720	-	8175100	yacC	ECB_00121	YP_003043350.1	115	-	hypothetical protein ECB_00121
chr	NC_012967.1	139886	141436	+	8178873	cueO	ECB_00122	YP_003043351.1	516	-	multicopper oxidase
chr	NC_012967.1	141638	144028	-	8178315	gcd	ECB_00123	YP_003043352.1	796	-	glucose dehydrogenase
chr	NC_012967.1	144234	144770	+	8175101	hpt	ECB_00124	YP_003043353.1	178	-	hypoxanthine-guanine phosphoribosyltransferase
chr	NC_012967.1	144811	145473	-	8178874	yadF	ECB_00125	YP_003043354.1	220	-	carbonic anhydrase
chr	NC_012967.1	145582	146508	+	8175102	yadG	ECB_00126	YP_003043355.1	308	-	putative transporter subunit ATP-binding protein of ABC superfamily
chr	NC_012967.1	146505	147275	+	8175103	yadH	ECB_00127	YP_003043356.1	256	-	putative transporter subunit membrane component of ABC superfamily
chr	NC_012967.1	147380	147820	+	8175104	yadI	ECB_00128	YP_003043357.1	146	-	putative PTS Enzyme IIA
chr	NC_012967.1	147884	149113	+	8175105	yadE	ECB_00129	YP_003043358.1	409	-	putative polysaccharide deacetylase lipoprotein
chr	NC_012967.1	149117	149497	-	8175106	panD	ECB_00130	YP_003043359.1	126	-	aspartate alpha-decarboxylase
chr	NC_012967.1	149771	150673	+	8175107	yadD	ECB_00131	YP_003043360.1	300	-	putative transposase
chr	NC_012967.1	150747	151598	-	8178875	panC	ECB_00132	YP_003043361.1	283	-	pantoate--beta-alanine ligase
chr	NC_012967.1	151610	152404	-	8175108	panB	ECB_00133	YP_003043362.1	264	-	3-methyl-2-oxobutanoate hydroxymethyltransferase
chr	NC_012967.1	152517	153863	-	8175109	yadC	ECB_00134	YP_003043363.1	448	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	153844	154440	-	8175110	yadK	ECB_00135	YP_003043364.1	198	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	154467	155069	-	8175111	yadL	ECB_00136	YP_003043365.1	200	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	155084	155653	-	8175112	yadM	ECB_00137	YP_003043366.1	189	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	155670	158270	-	8175113	htrE	ECB_00138	YP_003043367.1	866	-	putative outer membrane usher protein
chr	NC_012967.1	158305	159045	-	8175114	ecpD	ECB_00139	YP_003043368.1	246	-	putative chaperone protein EcpD
chr	NC_012967.1	159150	159734	-	8178876	yadN	ECB_00140	YP_003043369.1	194	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	160104	160583	-	8175115	folK	ECB_00141	YP_003043370.1	159	-	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
chr	NC_012967.1	160580	161944	-	8175116	pcnB	ECB_00142	YP_003043371.1	454	-	poly(A) polymerase I
chr	NC_012967.1	162037	162963	-	8175117	yadB	ECB_00143	YP_003043372.1	308	-	glutamyl-Q tRNA(Asp) synthetase
chr	NC_012967.1	163000	163455	-	8175118	dksA	ECB_00144	YP_003043373.1	151	-	RNA polymerase-binding transcription factor
chr	NC_012967.1	163633	164337	-	8175119	sfsA	ECB_00145	YP_003043374.1	234	-	sugar fermentation stimulation protein A
chr	NC_012967.1	164352	164882	-	8175120	ligT	ECB_00146	YP_003043375.1	176	-	2\'-5\' RNA ligase
chr	NC_012967.1	164956	167385	+	8175121	hrpB	ECB_00147	YP_003043376.1	809	-	ATP-dependent RNA helicase HrpB
chr	NC_012967.1	167581	170106	+	8178316	mrcB	ECB_00148	YP_003043377.1	841	-	penicillin-binding protein 1b
chr	NC_012967.1	170326	172569	+	8175122	fhuA	ECB_00149	YP_003043378.1	747	-	ferrichrome outer membrane transporter
chr	NC_012967.1	172620	173417	+	8178317	fhuC	ECB_00150	YP_003043379.1	265	-	iron-hydroxamate transporter ATP-binding subunit
chr	NC_012967.1	173417	174307	+	8178318	fhuD	ECB_00151	YP_003043380.1	296	-	iron-hydroxamate transporter substrate-binding subunit
chr	NC_012967.1	174304	176286	+	8175123	fhuB	ECB_00152	YP_003043381.1	660	-	iron-hydroxamate transporter permease
chr	NC_012967.1	176444	177724	-	8175124	hemL	ECB_00153	YP_003043382.1	426	-	glutamate-1-semialdehyde aminotransferase
chr	NC_012967.1	177949	179370	+	8175125	yadQ	ECB_00154	YP_003043383.1	473	-	chloride channel protein
chr	NC_012967.1	179452	179796	+	8175126	yadR	ECB_00155	YP_003043384.1	114	-	iron-sulfur cluster insertion protein ErpA
chr	NC_012967.1	179843	180466	-	8175127	yadS	ECB_00156	YP_003043385.1	207	-	hypothetical protein ECB_00156
chr	NC_012967.1	180504	181304	-	8175128	yadT	ECB_00157	YP_003043386.1	266	-	vitamin B12-transporter protein BtuF
chr	NC_012967.1	181297	181995	-	8175129	pfs	ECB_00158	YP_003043387.1	232	-	5\'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
chr	NC_012967.1	182079	183596	+	8175130	dgt	ECB_00159	YP_003043388.1	505	-	deoxyguanosinetriphosphate triphosphohydrolase
chr	NC_012967.1	183726	185150	+	8178319	degP	ECB_00160	YP_003043389.1	474	-	serine endoprotease
chr	NC_012967.1	185305	186462	+	8175131	cdaR	ECB_00161	YP_003043390.1	385	-	carbohydrate diacid transcriptional activator CdaR
chr	NC_012967.1	186551	186937	-	8178320	yaeH	ECB_00162	YP_003043391.1	128	-	hypothetical protein ECB_00162
chr	NC_012967.1	187099	187911	-	8178321	yaeI	ECB_00163	YP_003043392.1	270	-	phosphodiesterase YaeI
chr	NC_012967.1	187965	188789	-	8175132	dapD	ECB_00164	YP_003043393.1	274	-	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase
chr	NC_012967.1	188820	191492	-	8175133	glnD	ECB_00165	YP_003043394.1	890	-	PII uridylyl-transferase
chr	NC_012967.1	191554	192348	-	8175134	map	ECB_00166	YP_003043395.1	264	-	methionine aminopeptidase
chr	NC_012967.1	192716	193441	+	8175135	rpsB	ECB_00167	YP_003043396.1	241	-	30S ribosomal protein S2
chr	NC_012967.1	193699	194550	+	8175136	tsf	ECB_00168	YP_003043397.1	283	-	elongation factor Ts
chr	NC_012967.1	194697	195422	+	8175137	pyrH	ECB_00169	YP_003043398.1	241	-	uridylate kinase
chr	NC_012967.1	195714	196271	+	8175138	frr	ECB_00170	YP_003043399.1	185	-	ribosome recycling factor
chr	NC_012967.1	196363	197559	+	8178322	ispC	ECB_00171	YP_003043400.1	398	-	1-deoxy-D-xylulose 5-phosphate reductoisomerase
chr	NC_012967.1	197745	198506	+	8175139	uppS	ECB_00172	YP_003043401.1	253	-	undecaprenyl pyrophosphate synthase
chr	NC_012967.1	198519	199376	+	8175140	cdsA	ECB_00173	YP_003043402.1	285	-	CDP-diglyceride synthase
chr	NC_012967.1	199388	200740	+	8178323	yaeL	ECB_00174	YP_003043403.1	450	-	zinc metallopeptidase RseP
chr	NC_012967.1	200770	203202	+	8175141	yaeT	ECB_00175	YP_003043404.1	810	-	outer membrane protein assembly factor YaeT
chr	NC_012967.1	203324	203809	+	8175142	hlpA	ECB_00176	YP_003043405.1	161	-	periplasmic chaperone
chr	NC_012967.1	203813	204838	+	8175143	lpxD	ECB_00177	YP_003043406.1	341	-	UDP-3-O
chr	NC_012967.1	204943	205398	+	8175144	fabZ	ECB_00178	YP_003043407.1	151	-	(3R)-hydroxymyristoyl-ACP dehydratase
chr	NC_012967.1	205402	206190	+	8175145	lpxA	ECB_00179	YP_003043408.1	262	-	UDP-N-acetylglucosamine acyltransferase
chr	NC_012967.1	206190	207338	+	8175146	lpxB	ECB_00180	YP_003043409.1	382	-	lipid-A-disaccharide synthase
chr	NC_012967.1	207335	207931	+	8178877	rnhB	ECB_00181	YP_003043410.1	198	-	ribonuclease HII
chr	NC_012967.1	207968	211450	+	8178878	dnaE	ECB_00182	YP_003043411.1	1160	-	DNA polymerase III subunit alpha
chr	NC_012967.1	211463	212422	+	8175147	accA	ECB_00183	YP_003043412.1	319	-	acetyl-CoA carboxylase carboxyltransferase subunit alpha
chr	NC_012967.1	212521	214662	+	8175148	ldcC	ECB_00184	YP_003043413.1	713	-	lysine decarboxylase 2, constitutive
chr	NC_012967.1	214719	215108	+	8175149	yaeR	ECB_00185	YP_003043414.1	129	-	hypothetical protein ECB_00185
chr	NC_012967.1	215173	216471	+	8175150	tilS	ECB_00186	YP_003043415.1	432	-	tRNA(Ile)-lysidine synthetase
chr	NC_012967.1	216520	216774	-	8175151	rof	ECB_00187	YP_003043416.1	84	-	Rho-binding antiterminator
chr	NC_012967.1	216767	216967	-	8175152	yaeP	ECB_00188	YP_003043417.1	66	-	hypothetical protein ECB_00188
chr	NC_012967.1	217133	217678	+	8178879	yaeQ	ECB_00189	YP_003043418.1	181	-	hypothetical protein ECB_00189
chr	NC_012967.1	217675	218097	+	8175153	yaeJ	ECB_00190	YP_003043419.1	140	-	peptidyl-tRNA hydrolase domain protein
chr	NC_012967.1	218111	218821	+	8175154	cutF	ECB_00191	YP_003043420.1	236	-	lipoprotein involved with copper homeostasis and adhesion
chr	NC_012967.1	219021	219845	-	8178880	yaeF	ECB_00192	YP_003043421.1	274	-	hypothetical protein ECB_00192
chr	NC_012967.1	219898	221616	-	8175155	proS	ECB_00193	YP_003043422.1	572	-	prolyl-tRNA synthetase
chr	NC_012967.1	221727	222434	-	8175156	yaeB	ECB_00194	YP_003043423.1	235	-	hypothetical protein ECB_00194
chr	NC_012967.1	222431	222835	-	8175157	rcsF	ECB_00195	YP_003043424.1	134	-	outer membrane lipoprotein
chr	NC_012967.1	222953	223768	-	8175158	metQ	ECB_00196	YP_003043425.1	271	-	DL-methionine transporter substrate-binding subunit
chr	NC_012967.1	223808	224461	-	8175159	metI	ECB_00197	YP_003043426.1	217	-	DL-methionine transporter permease
chr	NC_012967.1	224454	225485	-	8175160	metN	ECB_00198	YP_003043427.1	343	-	DL-methionine transporter ATP-binding subunit
chr	NC_012967.1	225673	226245	+	8178881	gmhB	ECB_00199	YP_003043428.1	190	-	D,D-heptose 1,7-bisphosphate phosphatase
chr	NC_012967.1	232091	232894	+	8175165	dkgB	ECB_00200	YP_003043429.1	267	-	2,5-diketo-D-gluconate reductase B
chr	NC_012967.1	232891	233805	-	8175166	yafC	ECB_00201	YP_003043430.1	304	-	putative DNA-binding transcriptional regulator
chr	NC_012967.1	234046	234846	+	8175167	yafD	ECB_00202	YP_003043431.1	266	-	hypothetical protein ECB_00202
chr	NC_012967.1	234850	235473	+	8175168	yafE	ECB_00203	YP_003043432.1	207	-	putative S-adenosyl-L-methionine-dependent methyltransferase
chr	NC_012967.1	235521	236879	-	8175169	mltD	ECB_00204	YP_003043433.1	452	-	membrane-bound lytic murein transglycosylase D
chr	NC_012967.1	236951	237706	-	8178324	gloB	ECB_00205	YP_003043434.1	251	-	hydroxyacylglutathione hydrolase
chr	NC_012967.1	237740	238462	+	8175170	yafS	ECB_00206	YP_003043435.1	240	-	putative S-adenosyl-L-methionine-dependent methyltransferase
chr	NC_012967.1	238459	238926	-	8178325	rnhA	ECB_00207	YP_003043436.1	155	-	ribonuclease H
chr	NC_012967.1	238991	239722	+	8178326	dnaQ	ECB_00208	YP_003043437.1	243	-	DNA polymerase III subunit epsilon
chr	NC_012967.1	240261	241046	+	8175172	yafT	ECB_00209	YP_003043438.1	261	-	putative aminopeptidase
chr	NC_012967.1	241312	241587	+	8178884	insA-2	ECB_00210	YP_003043439.1	91	-	IS1 protein InsA
chr	NC_012967.1	241506	242009	+	8178885	insB-2	ECB_00211	YP_003043440.1	167	-	IS1 protein InsB
chr	NC_012967.1	242011	242382	+	8175173	-	ECB_00212	YP_003043441.1	123	-	hypothetical protein ECB_00212
chr	NC_012967.1	242813	243949	+	8178327	yhhI-1	ECB_00213	YP_003043442.1	378	-	putative transposase
chr	NC_012967.1	243990	244760	-	8175174	yafV	ECB_00214	YP_003043443.1	256	-	hypothetical protein ECB_00214
chr	NC_012967.1	244914	245387	+	8175175	ykfE	ECB_00215	YP_003043444.1	157	-	C-lysozyme inhibitor
chr	NC_012967.1	245430	247874	-	8175176	fadE	ECB_00216	YP_003043445.1	814	-	acyl-CoA dehydrogenase
chr	NC_012967.1	248114	248692	+	8175177	gmhA	ECB_00217	YP_003043446.1	192	-	phosphoheptose isomerase
chr	NC_012967.1	248898	249665	+	8175178	yafJ	ECB_00218	YP_003043447.1	255	-	putative amidotransfease
chr	NC_012967.1	249636	250376	-	8175179	yafK	ECB_00219	YP_003043448.1	246	-	hypothetical protein ECB_00219
chr	NC_012967.1	250532	250810	-	8178328	yafQ	ECB_00220	YP_003043449.1	92	-	putative toxin of the YafQ-DinJ toxin-antitoxin system
